Date,ISIN,Scrip Code, Scrip Name,MWPL,Open Interest
22-02-2024,INE647O01011,535755,ABFRL,83625756,82500600
22-02-2024,INE208A01029,500477,ASHOKLEY,282359403,252330000
22-02-2024,INE119A01028,500038,BALRAMCHIN,23040698,22147200
22-02-2024,INE545U01014,541153,BANDHANBNK,193358339,159687500
22-02-2024,INE376G01013,532523,BIOCON,93713228,79280000
22-02-2024,INE776C01039,532754,GMRINFRA,494055219,418668750
22-02-2024,INE113A01013,500670,GNFC,17249403,14934400
22-02-2024,INE531E01026,513599,HINDCOPPER,65482129,53477000
22-02-2024,INE121J01017,534816,INDUSTOWER,166895623,153312800
22-02-2024,INE139A01034,532234,NATIONALUM,178967755,148237500
22-02-2024,INE140A01024,500302,PEL,23952122,21575250
22-02-2024,INE191H01014,532689,PVR,14162574,12827012
22-02-2024,INE976G01028,540065,RBLBANK,120524452,111772500
22-02-2024,INE114A01011,500113,SAIL,289139949,286552000
22-02-2024,INE256A01028,505537,ZEEL,184440627,156078000
